Time	Delay	Size	TotalSize
23.6631	23.6631	7	7
419.663	19.6631	7	14
667.663	17.6631	7	21
825.663	25.6631	7	28
1218.66	18.6631	7	35
1626.66	26.6631	7	42
2017.66	17.6631	7	49
2422.66	22.6631	7	56
2824.66	24.6631	7	63
3219.66	19.6631	7	70
3625.66	25.6631	7	77
4009.66	9.66314	7	84
4413.66	13.6631	7	91
4821.66	21.6631	7	98
5220.66	20.6631	7	105
5624.66	24.6631	7	112
6014.66	14.6631	7	119
6424.66	24.6631	7	126
6826.66	26.6631	7	133
7220.66	20.6631	7	140
7620.66	20.6631	7	147
8021.66	21.6631	7	154
8421.66	21.6631	7	161
8823.66	23.6631	7	168
9228.66	28.6631	7	175
9615.66	15.6631	7	182
10020.7	20.6631	7	189
10421.7	21.6631	7	196
10819.7	19.6631	7	203
11223.7	23.6631	7	210
11621.7	21.6631	7	217
12024.7	24.6631	7	224
12426.7	26.6631	7	231
12815.7	15.6631	7	238
13222.7	22.6631	7	245
13611.7	11.6631	7	252
14021.7	21.6631	7	259
14411.7	11.6631	7	266
14816.7	16.6631	7	273
15220.7	20.6631	7	280
15619.7	19.6631	7	287
16021.7	21.6631	7	294
16424.7	24.6631	7	301
16820.7	20.6631	7	308
17622.7	22.6631	7	315
18026.7	26.6631	7	322
18415.7	15.6631	7	329
19229.7	29.6631	7	336
20030.7	30.6631	7	343
20417.7	17.6631	7	350
20816.7	16.6631	7	357
21219.7	19.6631	7	364
21618.7	18.6631	7	371
22414.7	14.6631	7	378
22824.7	24.6631	7	385
23222.7	22.6631	7	392
23624.7	24.6631	7	399
24019.7	19.6631	7	406
24424.7	24.6631	7	413
24816.7	16.6631	7	420
25219.7	19.6631	7	427
25621.7	21.6631	7	434
26022.7	22.6631	7	441
26414.7	14.6631	7	448
26810.7	10.6631	7	455
27220.7	20.6631	7	462
27616.7	16.6631	7	469
28021.7	21.6631	7	476
28422.7	22.6631	7	483
28819.7	19.6631	7	490
29210.7	10.6631	7	497
29614.7	14.6631	7	504
